project_name,migration_direction,set_folder_name,fold_name,model_name,prompt_mode,gemma_max_cos,gemma_max_bleu,llama_max_cos,llama_max_bleu,mistral_max_cos,mistral_max_bleu,gpt-4_max_cos,gpt-4_max_bleu,cimig_max_cos,cimig_max_bleu,best_model_by_bleu,best_bleu,best_model_by_cos,best_cos
JodaOrg_joda-time,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.24,0.26,cimig,0.26,cimig,0.24
JodaOrg_joda-time,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.24,0.26,cimig,0.26,cimig,0.24
JodaOrg_joda-time,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.24,0.26,cimig,0.26,cimig,0.24
JodaOrg_joda-time,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.24,0.26,cimig,0.26,cimig,0.24
JodaOrg_joda-time,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.48,0.15,cimig,0.15,cimig,0.48
JodaOrg_joda-time,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.48,0.15,cimig,0.15,cimig,0.48
JodaOrg_joda-time,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.48,0.15,cimig,0.15,cimig,0.48
JodaOrg_joda-time,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.48,0.15,cimig,0.15,cimig,0.48
MilkBowl_VaultAPI,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.14,0.11,cimig,0.11,cimig,0.14
MilkBowl_VaultAPI,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.14,0.11,cimig,0.11,cimig,0.14
MilkBowl_VaultAPI,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.14,0.11,cimig,0.11,cimig,0.14
MilkBowl_VaultAPI,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.14,0.11,cimig,0.11,cimig,0.14
MilkBowl_VaultAPI,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.34,0.23,cimig,0.23,cimig,0.34
MilkBowl_VaultAPI,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.34,0.23,cimig,0.23,cimig,0.34
MilkBowl_VaultAPI,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.34,0.23,cimig,0.23,cimig,0.34
MilkBowl_VaultAPI,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.34,0.23,cimig,0.23,cimig,0.34
MineLittlePony_BigPony,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.29,0.06,cimig,0.06,cimig,0.29
MineLittlePony_BigPony,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.29,0.06,cimig,0.06,cimig,0.29
MineLittlePony_BigPony,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.29,0.06,cimig,0.06,cimig,0.29
MineLittlePony_BigPony,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.29,0.06,cimig,0.06,cimig,0.29
MineLittlePony_BigPony,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.58,0.33,cimig,0.33,cimig,0.58
MineLittlePony_BigPony,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.58,0.33,cimig,0.33,cimig,0.58
MineLittlePony_BigPony,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.58,0.33,cimig,0.33,cimig,0.58
MineLittlePony_BigPony,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.58,0.33,cimig,0.33,cimig,0.58
MineLittlePony_HDSkins,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.28,0.05,cimig,0.05,cimig,0.28
MineLittlePony_HDSkins,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.28,0.05,cimig,0.05,cimig,0.28
MineLittlePony_HDSkins,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.28,0.05,cimig,0.05,cimig,0.28
MineLittlePony_HDSkins,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.28,0.05,cimig,0.05,cimig,0.28
MineLittlePony_HDSkins,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.44,0.15,cimig,0.15,cimig,0.44
MineLittlePony_HDSkins,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.44,0.15,cimig,0.15,cimig,0.44
MineLittlePony_HDSkins,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.44,0.15,cimig,0.15,cimig,0.44
MineLittlePony_HDSkins,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.44,0.15,cimig,0.15,cimig,0.44
NetLogo_Matrix-Extension,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.21,0.13,cimig,0.13,cimig,0.21
NetLogo_Matrix-Extension,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.21,0.13,cimig,0.13,cimig,0.21
NetLogo_Matrix-Extension,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.21,0.13,cimig,0.13,cimig,0.21
NetLogo_Matrix-Extension,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.21,0.13,cimig,0.13,cimig,0.21
NetLogo_Matrix-Extension,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.38,0.19,cimig,0.19,cimig,0.38
NetLogo_Matrix-Extension,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.38,0.19,cimig,0.19,cimig,0.38
NetLogo_Matrix-Extension,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.38,0.19,cimig,0.19,cimig,0.38
NetLogo_Matrix-Extension,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.38,0.19,cimig,0.19,cimig,0.38
OHNLP_MedTagger,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.26,0.05,cimig,0.05,cimig,0.26
OHNLP_MedTagger,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.26,0.05,cimig,0.05,cimig,0.26
OHNLP_MedTagger,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.26,0.05,cimig,0.05,cimig,0.26
OHNLP_MedTagger,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.26,0.05,cimig,0.05,cimig,0.26
OHNLP_MedTagger,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.44,0.25,cimig,0.25,cimig,0.44
OHNLP_MedTagger,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.44,0.25,cimig,0.25,cimig,0.44
OHNLP_MedTagger,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.44,0.25,cimig,0.25,cimig,0.44
OHNLP_MedTagger,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.44,0.25,cimig,0.25,cimig,0.44
OSGeo_PROJ-JNI,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.40,0.27,cimig,0.27,cimig,0.40
OSGeo_PROJ-JNI,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.40,0.27,cimig,0.27,cimig,0.40
OSGeo_PROJ-JNI,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.40,0.27,cimig,0.27,cimig,0.40
OSGeo_PROJ-JNI,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.40,0.27,cimig,0.27,cimig,0.40
OSGeo_PROJ-JNI,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.30,0.05,cimig,0.05,cimig,0.30
OSGeo_PROJ-JNI,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.30,0.05,cimig,0.05,cimig,0.30
OSGeo_PROJ-JNI,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.30,0.05,cimig,0.05,cimig,0.30
OSGeo_PROJ-JNI,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.30,0.05,cimig,0.05,cimig,0.30
OpenLiberty_ci.maven,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.27,0.12,cimig,0.12,cimig,0.27
OpenLiberty_ci.maven,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.27,0.12,cimig,0.12,cimig,0.27
OpenLiberty_ci.maven,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.27,0.12,cimig,0.12,cimig,0.27
OpenLiberty_ci.maven,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.27,0.12,cimig,0.12,cimig,0.27
OpenLiberty_ci.maven,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.53,0.00,cimig,0.00,cimig,0.53
OpenLiberty_ci.maven,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.53,0.00,cimig,0.00,cimig,0.53
OpenLiberty_ci.maven,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.53,0.00,cimig,0.00,cimig,0.53
OpenLiberty_ci.maven,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.53,0.00,cimig,0.00,cimig,0.53
OpenLiberty_guide-arquillian-managed,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.23,0.11,cimig,0.11,cimig,0.23
OpenLiberty_guide-arquillian-managed,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.23,0.11,cimig,0.11,cimig,0.23
OpenLiberty_guide-arquillian-managed,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.23,0.11,cimig,0.11,cimig,0.23
OpenLiberty_guide-arquillian-managed,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.23,0.11,cimig,0.11,cimig,0.23
OpenLiberty_guide-arquillian-managed,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.46,0.04,cimig,0.04,cimig,0.46
OpenLiberty_guide-arquillian-managed,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.46,0.04,cimig,0.04,cimig,0.46
OpenLiberty_guide-arquillian-managed,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.46,0.04,cimig,0.04,cimig,0.46
OpenLiberty_guide-arquillian-managed,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.46,0.04,cimig,0.04,cimig,0.46
OpenLiberty_guide-cloud-azure,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.63,0.45,cimig,0.45,cimig,0.63
OpenLiberty_guide-cloud-azure,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.63,0.45,cimig,0.45,cimig,0.63
OpenLiberty_guide-cloud-azure,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.63,0.45,cimig,0.45,cimig,0.63
OpenLiberty_guide-cloud-azure,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.63,0.45,cimig,0.45,cimig,0.63
OpenLiberty_guide-cloud-azure,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.47,0.05,cimig,0.05,cimig,0.47
