project,migration,mode,input_tokens,output_tokens,total_tokens,cost_usd
opencadc_cadc-target-resolver,travis_to_gha,few-shot,899,672,1571,0.00897
OpenLiberty_ci.maven,travis_to_gha,zero-shot,767,412,1179,0.00604
OpenLiberty_ci.maven,travis_to_gha,few-shot,767,382,1149,0.00574
OpenLiberty_guide-arquillian-managed,travis_to_gha,zero-shot,686,340,1026,0.00511
OpenLiberty_guide-arquillian-managed,travis_to_gha,few-shot,686,297,983,0.00468
OpenLiberty_guide-cloud-azure,travis_to_gha,zero-shot,715,371,1086,0.0055
OpenLiberty_guide-cloud-azure,travis_to_gha,few-shot,715,323,1038,0.00502
orien_bean-matchers,travis_to_gha,zero-shot,502,136,638,0.00262
orien_bean-matchers,travis_to_gha,few-shot,502,122,624,0.00247
OSGeo_PROJ-JNI,travis_to_gha,zero-shot,643,333,976,0.00494
OSGeo_PROJ-JNI,travis_to_gha,few-shot,643,222,865,0.00383
otavanopisto_muikku,travis_to_gha,zero-shot,656,352,1008,0.00516
otavanopisto_muikku,travis_to_gha,few-shot,656,382,1038,0.00546
otto-de_synapse,travis_to_gha,zero-shot,670,238,908,0.00406
otto-de_synapse,travis_to_gha,few-shot,670,250,920,0.00417
parse-community_Parse-SDK-Android,travis_to_gha,zero-shot,620,384,1004,0.00539
parse-community_Parse-SDK-Android,travis_to_gha,few-shot,620,339,959,0.00494
Paul2708_simple-commands,travis_to_gha,zero-shot,495,139,634,0.00263
Paul2708_simple-commands,travis_to_gha,few-shot,495,128,623,0.00252
PepperLola_playerinfo,travis_to_gha,zero-shot,701,421,1122,0.00596
PepperLola_playerinfo,travis_to_gha,few-shot,701,377,1078,0.00552
Pi4J_pi4j-v2,travis_to_gha,zero-shot,625,235,860,0.00391
Pi4J_pi4j-v2,travis_to_gha,few-shot,625,236,861,0.00392
playframework_play1,travis_to_gha,zero-shot,498,126,624,0.00251
playframework_play1,travis_to_gha,few-shot,498,114,612,0.00238
PojavLauncherTeam_PojavLauncher,travis_to_gha,zero-shot,922,603,1525,0.00834
PojavLauncherTeam_PojavLauncher,travis_to_gha,few-shot,922,486,1408,0.00716
primefaces-extensions_primefaces-integration-tests,travis_to_gha,zero-shot,661,408,1069,0.00573
primefaces-extensions_primefaces-integration-tests,travis_to_gha,few-shot,661,379,1040,0.00544
princesslana_smalld,travis_to_gha,zero-shot,756,381,1137,0.0057
princesslana_smalld,travis_to_gha,few-shot,756,399,1155,0.00588
qlefevre_crud-admin-spring-boot-starter,travis_to_gha,zero-shot,509,243,752,0.0037
qlefevre_crud-admin-spring-boot-starter,travis_to_gha,few-shot,509,165,674,0.00292
qos-ch_slf4j,travis_to_gha,zero-shot,505,188,693,0.00314
qos-ch_slf4j,travis_to_gha,few-shot,505,126,631,0.00252
radixdlt_radixdlt,travis_to_gha,zero-shot,659,514,1173,0.00679
radixdlt_radixdlt,travis_to_gha,few-shot,659,547,1206,0.00712
ralscha_xodus-queue,travis_to_gha,zero-shot,538,228,766,0.00362
ralscha_xodus-queue,travis_to_gha,few-shot,538,188,726,0.00322
reaktivity_nukleus-http.java,travis_to_gha,zero-shot,524,196,720,0.00327
reaktivity_nukleus-http.java,travis_to_gha,few-shot,524,199,723,0.0033
reaktivity_nukleus-maven-plugin,travis_to_gha,zero-shot,524,196,720,0.00327
reaktivity_nukleus-maven-plugin,travis_to_gha,few-shot,524,199,723,0.0033
reaktivity_nukleus-tcp.spec,travis_to_gha,zero-shot,524,199,723,0.0033
reaktivity_nukleus-tcp.spec,travis_to_gha,few-shot,524,199,723,0.0033
redhat-developer_quarkus-ls,travis_to_gha,zero-shot,577,319,896,0.00463
redhat-developer_quarkus-ls,travis_to_gha,few-shot,577,250,827,0.00394
renyuneyun_Easer,travis_to_gha,zero-shot,1071,497,1568,0.00765
renyuneyun_Easer,travis_to_gha,few-shot,1071,623,1694,0.00891
Sandec_JMemoryBuddy,travis_to_gha,zero-shot,497,125,622,0.00249
Sandec_JMemoryBuddy,travis_to_gha,few-shot,497,113,610,0.00237
saucelabs_ci-sauce,travis_to_gha,zero-shot,524,172,696,0.00303
saucelabs_ci-sauce,travis_to_gha,few-shot,524,157,681,0.00288
selenide_selenide,travis_to_gha,zero-shot,827,599,1426,0.00806
selenide_selenide,travis_to_gha,few-shot,827,1742,2569,0.01949
sizovs_PipelinR,travis_to_gha,zero-shot,514,154,668,0.00283
sizovs_PipelinR,travis_to_gha,few-shot,514,143,657,0.00272
Smarteon_loxone-java,travis_to_gha,zero-shot,684,604,1288,0.00775
Smarteon_loxone-java,travis_to_gha,few-shot,684,589,1273,0.0076
societe-generale_arch-unit-build-plugin-core,travis_to_gha,zero-shot,775,423,1198,0.00617
societe-generale_arch-unit-build-plugin-core,travis_to_gha,few-shot,775,362,1137,0.00556
sockeqwe_AdapterDelegates,travis_to_gha,zero-shot,580,347,927,0.00492
sockeqwe_AdapterDelegates,travis_to_gha,few-shot,580,303,883,0.00448
sofastack_sofa-bolt,travis_to_gha,zero-shot,675,357,1032,0.00526
sofastack_sofa-bolt,travis_to_gha,few-shot,675,330,1005,0.00499
sofastack_sofa-registry,travis_to_gha,zero-shot,530,193,723,0.00326
sofastack_sofa-registry,travis_to_gha,few-shot,530,156,686,0.00288
spigotplugins_fakeplayer,travis_to_gha,zero-shot,506,134,640,0.00261
spigotplugins_fakeplayer,travis_to_gha,few-shot,506,112,618,0.00238
splitio_android-client,travis_to_gha,zero-shot,543,249,792,0.00385
splitio_android-client,travis_to_gha,few-shot,543,174,717,0.0031
spring-cloud_spring-cloud-zookeeper,travis_to_gha,zero-shot,700,424,1124,0.00599
spring-cloud_spring-cloud-zookeeper,travis_to_gha,few-shot,700,343,1043,0.00518
TagnumElite_ProjectE-Integration,travis_to_gha,zero-shot,699,376,1075,0.00551
TagnumElite_ProjectE-Integration,travis_to_gha,few-shot,699,335,1034,0.0051
tanersener_smart-exception,travis_to_gha,zero-shot,585,272,857,0.00418
tanersener_smart-exception,travis_to_gha,few-shot,585,263,848,0.00409
tdebatty_java-string-similarity,travis_to_gha,zero-shot,512,146,658,0.00274
tdebatty_java-string-similarity,travis_to_gha,few-shot,512,131,643,0.00259
tdf_odftoolkit,travis_to_gha,zero-shot,526,201,727,0.00332
tdf_odftoolkit,travis_to_gha,few-shot,526,178,704,0.00309
ThatKawaiiSam_Assemble,travis_to_gha,zero-shot,576,248,824,0.00392
ThatKawaiiSam_Assemble,travis_to_gha,few-shot,576,255,831,0.00399
thepieterdc_dodona-plugin-jetbrains,travis_to_gha,zero-shot,492,132,624,0.00255
thepieterdc_dodona-plugin-jetbrains,travis_to_gha,few-shot,492,89,581,0.00212
TrNdy_mastodon-tracking,travis_to_gha,zero-shot,525,222,747,0.00353
TrNdy_mastodon-tracking,travis_to_gha,few-shot,525,200,725,0.00331
tsandmann_ct-sim,travis_to_gha,zero-shot,532,183,715,0.00316
tsandmann_ct-sim,travis_to_gha,few-shot,532,173,705,0.00306
tsjensen_sercoll,travis_to_gha,zero-shot,758,288,1046,0.00477
tsjensen_sercoll,travis_to_gha,few-shot,758,290,1048,0.00479
Twasi_twasi-core,travis_to_gha,zero-shot,670,529,1199,0.00696
Twasi_twasi-core,travis_to_gha,few-shot,670,509,1179,0.00677
typetools_guava,travis_to_gha,zero-shot,698,432,1130,0.00607
typetools_guava,travis_to_gha,few-shot,698,401,1099,0.00575
utarwyn_SuperJukebox,travis_to_gha,zero-shot,596,314,910,0.00463
utarwyn_SuperJukebox,travis_to_gha,few-shot,596,237,833,0.00386
uw-loci_misc-plugins,travis_to_gha,zero-shot,532,170,702,0.00303
uw-loci_misc-plugins,travis_to_gha,few-shot,532,173,705,0.00306
vert-x3_vertx-bridge-common,travis_to_gha,zero-shot,639,344,983,0.00504
vert-x3_vertx-bridge-common,travis_to_gha,few-shot,639,331,970,0.00491
vert-x3_vertx-web,travis_to_gha,zero-shot,854,829,1683,0.01043
vert-x3_vertx-web,travis_to_gha,few-shot,854,809,1663,0.01022
vlingo_xoom-turbo,travis_to_gha,zero-shot,696,475,1171,0.00649
vlingo_xoom-turbo,travis_to_gha,few-shot,696,494,1190,0.00668
wcm-io-devops_conga-sling-plugin,travis_to_gha,zero-shot,638,359,997,0.00519
wcm-io-devops_conga-sling-plugin,travis_to_gha,few-shot,638,337,975,0.00497
WISVCH_events,travis_to_gha,zero-shot,728,442,1170,0.00624
WISVCH_events,travis_to_gha,few-shot,728,425,1153,0.00607
wte4j_wte4j,travis_to_gha,zero-shot,553,216,769,0.00354
wte4j_wte4j,travis_to_gha,few-shot,553,158,711,0.00296
xenit-eu_alfresco-docker-gradle-plugin,travis_to_gha,zero-shot,881,612,1493,0.00832
xenit-eu_alfresco-docker-gradle-plugin,travis_to_gha,few-shot,881,625,1506,0.00845
xerial_sqlite-jdbc,travis_to_gha,zero-shot,510,151,661,0.00279
xerial_sqlite-jdbc,travis_to_gha,few-shot,510,139,649,0.00266
xuxueli_xxl-job,travis_to_gha,zero-shot,509,158,667,0.00285
xuxueli_xxl-job,travis_to_gha,few-shot,509,140,649,0.00267
YakushevVladimir_BibleQuote-for-Android,travis_to_gha,zero-shot,649,401,1050,0.00563
YakushevVladimir_BibleQuote-for-Android,travis_to_gha,few-shot,649,347,996,0.00509
yuxuanchiadm_SkyCraftUpdater,travis_to_gha,zero-shot,487,132,619,0.00254
yuxuanchiadm_SkyCraftUpdater,travis_to_gha,few-shot,487,112,599,0.00234
adobe_experience-platform-streaming-connect,gha_to_travis,zero-shot,673,91,764,0.00259
adobe_experience-platform-streaming-connect,gha_to_travis,few-shot,673,65,738,0.00233
agateau_pixelwheels,gha_to_travis,zero-shot,549,65,614,0.00202
agateau_pixelwheels,gha_to_travis,few-shot,549,52,601,0.00189
albertus82_cyclesmod,gha_to_travis,zero-shot,928,188,1116,0.0042
albertus82_cyclesmod,gha_to_travis,few-shot,928,163,1091,0.00395
alexvasilkov_GestureViews,gha_to_travis,zero-shot,1116,248,1364,0.00527
alexvasilkov_GestureViews,gha_to_travis,few-shot,1116,244,1360,0.00523
anand1st_sshd-shell-spring-boot,gha_to_travis,zero-shot,587,140,727,0.00287
anand1st_sshd-shell-spring-boot,gha_to_travis,few-shot,587,68,655,0.00215
anastaciocintra_escpos-coffee,gha_to_travis,zero-shot,790,167,957,0.00365
anastaciocintra_escpos-coffee,gha_to_travis,few-shot,790,207,997,0.00404
apache_dubbo-spi-extensions,gha_to_travis,zero-shot,759,216,975,0.00406
apache_dubbo-spi-extensions,gha_to_travis,few-shot,759,194,953,0.00384
apache_maven-enforcer,gha_to_travis,zero-shot,552,95,647,0.00233
apache_maven-enforcer,gha_to_travis,few-shot,552,49,601,0.00187
AtomGraph_Processor,gha_to_travis,zero-shot,993,428,1421,0.00676
AtomGraph_Processor,gha_to_travis,few-shot,993,435,1428,0.00683
AuScope_NVCLAnalyticalServices,gha_to_travis,zero-shot,635,139,774,0.00298
AuScope_NVCLAnalyticalServices,gha_to_travis,few-shot,635,84,719,0.00243
AxonIQ_axonserver-connector-java,gha_to_travis,zero-shot,613,81,694,0.00234
AxonIQ_axonserver-connector-java,gha_to_travis,few-shot,613,96,709,0.00249
azarnovdaniil_java-net-course,gha_to_travis,zero-shot,544,130,674,0.00266
azarnovdaniil_java-net-course,gha_to_travis,few-shot,544,40,584,0.00176
ballerina-platform_module-ballerina-docker,gha_to_travis,zero-shot,896,430,1326,0.00654
ballerina-platform_module-ballerina-docker,gha_to_travis,few-shot,896,198,1094,0.00422
billthefarmer_currency,gha_to_travis,zero-shot,624,103,727,0.00259
billthefarmer_currency,gha_to_travis,few-shot,624,104,728,0.0026
billthefarmer_editor,gha_to_travis,zero-shot,642,108,750,0.00268
billthefarmer_editor,gha_to_travis,few-shot,642,109,751,0.0027
BombusMod_BombusMod,gha_to_travis,zero-shot,700,140,840,0.00315
BombusMod_BombusMod,gha_to_travis,few-shot,700,126,826,0.00301
bootique_bootique-logback,gha_to_travis,zero-shot,1100,519,1619,0.00794
bootique_bootique-logback,gha_to_travis,few-shot,1100,247,1347,0.00522
btraceio_btrace,gha_to_travis,zero-shot,1116,382,1498,0.00661
btraceio_btrace,gha_to_travis,few-shot,1116,368,1484,0.00647
cdk_cdk,gha_to_travis,zero-shot,546,72,618,0.00209
cdk_cdk,gha_to_travis,few-shot,546,36,582,0.00173
CodelyTV_java-basic-skeleton,gha_to_travis,zero-shot,687,162,849,0.00334
CodelyTV_java-basic-skeleton,gha_to_travis,few-shot,687,162,849,0.00334
ConsensusJ_consensusj,gha_to_travis,zero-shot,697,184,881,0.00358
ConsensusJ_consensusj,gha_to_travis,few-shot,697,181,878,0.00355
constellation-app_constellation,gha_to_travis,zero-shot,1093,298,1391,0.00571
constellation-app_constellation,gha_to_travis,few-shot,1093,372,1465,0.00645
Coolerfall_Android-HttpDownloadManager,gha_to_travis,zero-shot,627,121,748,0.00278
Coolerfall_Android-HttpDownloadManager,gha_to_travis,few-shot,627,93,720,0.0025
cryptomator_dokany-nio-adapter,gha_to_travis,zero-shot,1204,485,1689,0.00786
cryptomator_dokany-nio-adapter,gha_to_travis,few-shot,1204,388,1592,0.00689
CST-Group_cst,gha_to_travis,zero-shot,943,369,1312,0.00605
CST-Group_cst,gha_to_travis,few-shot,943,360,1303,0.00596
devaneios-ifsp_turma-de-elite-backend,gha_to_travis,zero-shot,990,277,1267,0.00524
devaneios-ifsp_turma-de-elite-backend,gha_to_travis,few-shot,990,276,1266,0.00524
dhatim_safesql,gha_to_travis,zero-shot,982,248,1230,0.00494
dhatim_safesql,gha_to_travis,few-shot,982,247,1229,0.00493
dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,1338,353,1691,0.00688
dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,few-shot,1338,317,1655,0.00651
dogtagpki_jss,gha_to_travis,zero-shot,749,260,1009,0.00447
dogtagpki_jss,gha_to_travis,few-shot,749,239,988,0.00426
