setting,direction,project,service,n_files,yaml_pass_rate,yaml_score_avg,external_score_avg,actionlint_pass_rate,travis_lint_pass_rate,messages_sample
CIMig,travis_to_gha,BentoBoxWorld_BSkyBlock,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: while parsing a block mapping
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/BentoBoxWorld_BSkyBlock/03_CIMig_Travi"
CIMig,gha_to_travis,BentoBoxWorld_BSkyBlock,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/BentoBoxWorld_BSkyBlock/04_CIMig"
CIMig,travis_to_gha,BombusMod_BombusMod,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/BombusMod_BombusMod/03_CIMig_Tra"
CIMig,gha_to_travis,BombusMod_BombusMod,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/BombusMod_BombusMod/04_CIMig_GHA"
Zero-Shot,travis_to_gha,BombusMod_BombusMod,gha,4,0.5,0.5,0.5,0.5,,"[actionlint rc=0]  | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=1] actions.yml:27:9: shellcheck reported issue in this script: SC2086:info:4:31: Double quote to prevent globbing and word splitting [shellcheck]
   |
27 |         run: |
   |         ^"
Zero-Shot,gha_to_travis,BombusMod_BombusMod,travis,4,0.5,0.5,0.5,,0.5,"[travis lint rc=0] valid | YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/BombusMod_BombusMod/04_CIgrat | [travis lint rc=0] valid"
Few-Shot,travis_to_gha,BombusMod_BombusMod,gha,4,0.75,0.75,0.75,0.75,,"[actionlint rc=0]  | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=0] "
Few-Shot,gha_to_travis,BombusMod_BombusMod,travis,4,0.5,0.5,0.5,,0.5,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/BombusMod_BombusMod/04_CIgrate_GHA_to_Travis/gemma | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/BombusMod_BombusMod/04_CIgrate_GHA_to_Travis/gpt-4"
CIMig,travis_to_gha,CST-Group_cst,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: while parsing a block mapping
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/CST-Group_cst/03_CIMig_Travis_to_GHA/C"
CIMig,gha_to_travis,CST-Group_cst,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/CST-Group_cst/04_CIMig_GHA_to_Tr"
Zero-Shot,travis_to_gha,CST-Group_cst,gha,4,0.75,0.75,0.75,0.75,,"[actionlint rc=1] actions.yml:27:9: shellcheck reported issue in this script: SC2086:info:5:39: Double quote to prevent globbing and word splitting [shellcheck]
   |
27 |         run: |
   |         ^ | YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/CST-Group_cst/03_CIgr | [actionlint rc=1] actions.yml:16:14: label ""ubuntu-18.04"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", "
Zero-Shot,gha_to_travis,CST-Group_cst,travis,4,0.5,0.5,0.5,,0.5,"YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/CST-Group_cst/04_CIgrate_GHA_ | YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/CST-Group_cst/04_CIgrate_GHA_ | [travis lint rc=0] valid"
Fine-Tuned,travis_to_gha,CST-Group_cst,gha,1,1.0,1.0,1.0,1.0,,"[actionlint rc=1] actions.yml:32:7: shellcheck reported issue in this script: SC2086:info:1:39: Double quote to prevent globbing and word splitting [shellcheck]
   |
32 |       run: ./cc-test-reporter"
Fine-Tuned,gha_to_travis,CST-Group_cst,travis,1,1.0,1.0,1.0,,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_02/CST-Group_cst/04_CIgrate_GHA_to_T
Few-Shot,travis_to_gha,CST-Group_cst,gha,4,0.75,0.75,0.5,0.5,,"[actionlint rc=1] actions.yml:32:9: shellcheck reported issue in this script: SC2086:info:1:39: Double quote to prevent globbing and word splitting [shellcheck]
   |
32 |         run: ./cc-test-report | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=1] actions.yml:29:9: shellcheck reported issue in this script: SC2086:info:2:39: Double quote to prevent globbing and word splitting [shellcheck]
   |
29 |         run: |
   |         ^"
Few-Shot,gha_to_travis,CST-Group_cst,travis,4,0.5,0.5,0.5,,0.5,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/CST-Group_cst/04_CIgrate_GHA_to_Travis/gemma3_12b/ | YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/CST-Group_cst/04_CIgrate_GHA_t | [travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/CST-Group_cst/04_CIgrate_GHA_to_Travis/gpt-4o/trav"
CIMig,travis_to_gha,CodelyTV_java-basic-skeleton,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/CodelyTV_java-basic-skeleton/03_"
CIMig,gha_to_travis,CodelyTV_java-basic-skeleton,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/CodelyTV_java-basic-skeleton/04_"
Zero-Shot,travis_to_gha,CodelyTV_java-basic-skeleton,gha,4,0.75,0.75,0.75,0.75,,"[actionlint rc=1] actions.yml:17:13: label ""osx"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-l | [actionlint rc=0]  | [actionlint rc=0] "
Zero-Shot,gha_to_travis,CodelyTV_java-basic-skeleton,travis,4,0.75,0.75,0.75,,0.75,"[travis lint rc=0] valid | YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/CodelyTV_java-basic-skeleton/ | [travis lint rc=0] valid"
Fine-Tuned,travis_to_gha,CodelyTV_java-basic-skeleton,gha,1,1.0,1.0,1.0,1.0,,"[actionlint rc=1] actions.yml:37:9: shellcheck reported issue in this script: SC2086:info:1:8: Double quote to prevent globbing and word splitting [shellcheck]
   |
37 |         run: |
   |         ^~"
Fine-Tuned,gha_to_travis,CodelyTV_java-basic-skeleton,travis,1,1.0,1.0,1.0,,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_07/CodelyTV_java-basic-skeleton/04_C
Few-Shot,travis_to_gha,CodelyTV_java-basic-skeleton,gha,4,0.75,0.75,0.75,0.75,,"[actionlint rc=1] actions.yml:28:9: shellcheck reported issue in this script: SC2086:info:1:7: Double quote to prevent globbing and word splitting [shellcheck]
   |
28 |         run: |
   |         ^~ | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=1] actions.yml:32:9: shellcheck reported issue in this script: SC2086:info:1:7: Double quote to prevent globbing and word splitting [shellcheck]
   |
32 |         run: |
   |         ^~"
Few-Shot,gha_to_travis,CodelyTV_java-basic-skeleton,travis,4,0.75,0.75,0.75,,0.75,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/CodelyTV_java-basic-skeleton/04_CIgrate_GHA_to_Tra | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [travis lint rc=0] valid"
CIMig,travis_to_gha,CompEvol_sampled-ancestors,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: while parsing a block mapping
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/CompEvol_sampled-ancestors/03_CIMig_Tr"
CIMig,gha_to_travis,CompEvol_sampled-ancestors,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/CompEvol_sampled-ancestors/04_CI"
CIMig,travis_to_gha,ConsensusJ_consensusj,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ConsensusJ_consensusj/03_CIMig_T"
CIMig,gha_to_travis,ConsensusJ_consensusj,travis,1,1.0,1.0,1.0,,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ConsensusJ_consensusj/04_CIMig_GHA_to_Travis/ConsensusJ_cons
Zero-Shot,travis_to_gha,ConsensusJ_consensusj,gha,4,0.5,0.5,0.25,0.25,,"[actionlint rc=1] actions.yml:34:5: unexpected key ""cache"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"",  | YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/ConsensusJ_consensusj | [actionlint rc=1] actions.yml:48:9: shellcheck reported issue in this script: SC2086:info:1:7: Double quote to prevent globbing and word splitting [shellcheck]
   |
48 |         run: |
   |         ^~"
Zero-Shot,gha_to_travis,ConsensusJ_consensusj,travis,4,0.5,0.5,0.5,,0.5,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/ConsensusJ_consensusj/04_CIgrate_GHA_to_Travis/ge | YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/ConsensusJ_consensusj/04_CIgr | [travis lint rc=0] valid"
Fine-Tuned,travis_to_gha,ConsensusJ_consensusj,gha,1,1.0,1.0,1.0,1.0,,"[actionlint rc=1] actions.yml:34:7: shellcheck reported issue in this script: SC2086:info:1:8: Double quote to prevent globbing and word splitting [shellcheck]
   |
34 |       run: |
   |       ^~~~
a"
Fine-Tuned,gha_to_travis,ConsensusJ_consensusj,travis,1,1.0,1.0,1.0,,1.0,[travis lint rc=0] valid
Few-Shot,travis_to_gha,ConsensusJ_consensusj,gha,4,0.75,0.75,0.75,0.75,,"[actionlint rc=1] actions.yml:36:9: shellcheck reported issue in this script: SC2086:info:1:7: Double quote to prevent globbing and word splitting [shellcheck]
   |
36 |         run: |
   |         ^~ | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=1] actions.yml:27:9: shellcheck reported issue in this script: SC2086:info:1:7: Double quote to prevent globbing and word splitting [shellcheck]
   |
27 |         run: |
   |         ^~"
Few-Shot,gha_to_travis,ConsensusJ_consensusj,travis,4,0.75,0.75,0.75,,0.75,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/ConsensusJ_consensusj/04_CIgrate_GHA_to_Travis/gem | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/ConsensusJ_consensusj/04_CIgrate_GHA_to_Travis/gpt"
CIMig,travis_to_gha,Coolerfall_Android-HttpDownloadManager,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/Coolerfall_Android-HttpDownloadManager/0"
CIMig,gha_to_travis,Coolerfall_Android-HttpDownloadManager,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/Coolerfall_Android-HttpDownloadM"
Zero-Shot,travis_to_gha,Coolerfall_Android-HttpDownloadManager,gha,4,0.5,0.5,0.0,0.0,,"[actionlint rc=1] actions.yml:25:9: shellcheck reported issue in this script: SC2086:info:1:34: Double quote to prevent globbing and word splitting [shellcheck]
   |
25 |         run: |
   |         ^ | YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/Coolerfall_Android-Ht | [actionlint rc=1] actions.yml:20:9: shellcheck reported issue in this script: SC2086:info:4:38: Double quote to prevent globbing and word splitting [shellcheck]
   |
20 |         run: |
   |         ^"
Zero-Shot,gha_to_travis,Coolerfall_Android-HttpDownloadManager,travis,4,0.5,0.5,0.5,,0.5,"[travis lint rc=0] valid | YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/Coolerfall_Android-HttpDownlo | [travis lint rc=0] valid"
Fine-Tuned,travis_to_gha,Coolerfall_Android-HttpDownloadManager,gha,1,1.0,1.0,1.0,1.0,,"[actionlint rc=1] actions.yml:32:9: shellcheck reported issue in this script: SC2086:info:1:7: Double quote to prevent globbing and word splitting [shellcheck]
   |
32 |         run: |
   |         ^~"
Fine-Tuned,gha_to_travis,Coolerfall_Android-HttpDownloadManager,travis,1,1.0,1.0,1.0,,1.0,[travis lint rc=0] valid
Few-Shot,travis_to_gha,Coolerfall_Android-HttpDownloadManager,gha,4,0.75,0.75,0.75,0.75,,"[actionlint rc=0]  | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=1] actions.yml:38:29: context ""runner"" is not allowed here. available contexts are ""github"", ""inputs"", ""matrix"", ""needs"", ""secrets"", ""strategy"", ""vars"". see https://docs.github.com/en/a"
